0.13,0,-125.52,0,1.21
0.2,0,-125.84,0,-0.43
0.69,0,-125.75,0,-1.44
0.51,0,-125.83,0,-2.02
0.2,0,-125.37,0,-2
0.06,0,-125.05,0,-1.44
-0.14,0,-124.9,0,-1.8
-0.26,0,-124.64,0,-0.99
-0.19,0,-124.43,0,-0.43
0.08,0,-124.07,0,0.54
-0.12,0,-123.84,0,1.43
-0.08,0,-123.91,0,0.92
-0.06,0,-123.61,0,2.53
-0.09,0,-123.54,0,2.46
0.08,0,-123.49,0,2.33
0.47,0,-123.35,0,1.8
0.1,0,-123.22,0,1.71
0.16,0,-123.07,0,1.95
0.2,0,-122.85,0,1.4
-0.26,0,-122.44,0,2.8
-0.12,0,-122.17,0,3.29
0.23,0,-121.92,0,4.79
-0.37,0,-120.93,0,4.63
0.44,0,-121.27,0,5.15
0.81,0,-120.92,0,5.29
0.92,0,-121.01,0,6.33
0.62,0,-121.4,0,6.16
0.47,0,-122.69,0,6.67
-0.25,0,-122.94,0,7.19
-1.8,0,-124.26,0,8.65
-2.09,0,-126.27,0,5.03
-2.17,0,-128.53,-9.77,3.13
-1.53,1,-130.03,-17.54,4.11
-1.23,1.08,-132,-28.41,5.54
-1.2,0,-134.56,-40.91,7.25
-0.52,-2.64,-137.87,-46.55,15.08
-0.35,-2.11,-141.11,-43.53,40.47
-1,0,-148.05,-45.51,68.68
-1.29,1.08,-151.02,-44.35,95.8
-0.73,0,-150.72,-43.77,117.9
-0.85,1,-155.52,-43.11,146.91
-0.83,0,-159.35,-42.1,175.93
-0.94,1,-162,-42.43,-159.01
-0.86,0,-165.61,-40.39,-129.53
-0.84,1,-167.37,-40.51,-105.15
-0.76,0,-169.3,-38.81,-77.38
-0.72,1,-170.81,-38.79,-50.77
-0.72,1,-171.93,-38.52,-25.47
-0.76,1,-173.13,-38.36,-1.25
-0.76,0,-174.45,-37.68,26.23
0.07,-2.16,-177.32,-39.4,48.12
-2.03,0,171.37,-42.45,50.78
-1.8,1,157.12,-45,55.41
-1.3,1,145.56,-42.84,55.4
-2.55,-2.75,148.21,-33.54,23.14
-2.51,-2.73,137.77,-30.84,29.07
-2.33,0,127.33,-24.12,28.53
-1.82,0,115.23,-16.94,27.31
-0.17,0,106.67,-7.14,29.71
2.01,0,97.12,1.66,32.3
0.86,0,89.39,0,34.08
-1.75,0,83.37,0,34.9
-1.69,0,79.18,0,34.27
-1.63,0,75.01,0,33.19
0,0,72.39,0,32.25
0.82,0,70.54,0,30.23
0.8,0,70.63,0,29.52
0.3,0,69.81,0,26.18
-1.26,0,69.53,0,24.1
-0.91,0,69.75,0,23.54
0.32,0,69.81,0,23.19
1.01,0,68.66,0,20.4
1.07,0,68.25,0,19.15
0.32,0,68.24,0,18.58
0.22,0,67.97,0,16.49
0.22,0,68.09,0,15.57
0.14,0,68.17,0,14.91
0.2,0,68.15,0,13.95
0.23,0,68.14,0,12.84
0,0,68.26,0,12
0,0,68.56,0,11.25
0,0,68.44,0,8.68
0.1,0,68.54,0,7.9
0.19,0,68.64,0,7.1
0.15,0,68.82,0,7.14
0.18,0,69.23,0,7.8
0.17,0,69.25,0,6.68
0.1,0,69.34,0,5.24
0,0,69.62,0,4.71
-0.3,0,69.69,0,3.99
0,0,70.39,0,6.63
0,0,70.65,0,5.93
-0.09,0,70.88,0,4.63
0,0,71.14,0,4.88
0.11,0,71.43,0,4.77
0.14,0,71.74,0,4.07
0.13,0,71.94,0,3.98
0.14,0,72.21,0,3.79
0,0,72.61,0,4.1
0.09,0,72.74,0,4.03
-0.36,0,73.07,0,4.78
-0.14,0,73.41,0,5.37
0,0,73.67,0,4.74
0,0,73.98,0,4.09
0,0,74.29,0,3.72
0.09,0,74.5,0,3.37
0,0,74.75,0,3.11
-0.21,0,74.17,0,-1.18
-0.11,0,74.76,0,-1.69
0,0,74.82,0,-1.85
0.09,0,74.72,0,-2.1
0.17,0,74.7,0,-1.3
0.18,0,74.55,0,-1.68
0.38,0,74.47,0,-2.2
0.17,0,74.37,0,-2.56
0.15,0,74.31,0,-3.1
0.51,0,74.02,0,-3.41
0.53,0,73.89,0,-4.15
0.78,0,74.17,0,-4.21
